task_id,config,agent,model,reasoning,snapshot,raw_pass,judge_pass,compile,tests_passed,tests_run,req_satisfied,req_total,duration_s,cost_usd,output_tokens,steps,compile_calls,compile_errors,files_edited
ue_task_0001,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0001_claude-code_20260701_215035,0,0,1,4,7,5,7,1965.8,21.123154999999993,120928,102,13,1,8
ue_task_0002,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0002_claude-code_20260701_222224,0,0,1,9,11,9,11,1707.4,18.48124,130931,86,7,0,10
ue_task_0003,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0003_claude-code_20260701_230141,1,0,1,5,5,4,5,2126.7,24.046613,122675,84,8,0,9
ue_task_0004,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0004_claude-code_20260701_232422,0,0,1,0,1,4,6,1131.5,14.854914,73687,75,5,0,7
ue_task_0005,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0005_claude-code_20260701_234533,1,1,1,4,4,6,6,1055.0,13.042106000000004,72132,75,6,0,8
ue_task_0006,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0006_claude-code_20260702_000230,1,0,1,5,5,5,5,884.3,16.810447000000003,61695,66,8,0,2
ue_task_0007,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0007_claude-code_20260702_002103,1,0,1,1,1,2,3,939.7,12.145832,63086,68,4,0,3
ue_task_0008,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0008_claude-code_20260702_083859,0,0,1,20,22,21,22,1870.8,20.499006,139771,91,8,0,8
ue_task_0009,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0009_claude-code_20260702_090040,1,1,1,5,5,11,11,982.4,8.844472000000001,70410,41,4,0,1
ue_task_0010,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0010_claude-code_20260702_090809,0,1,1,2,3,9,9,344.2,5.044969,21556,32,3,0,1
ue_task_0011,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0011_claude-code_20260702_092208,1,1,1,6,6,9,9,730.4,6.437510999999999,47162,39,1,0,1
ue_task_0012,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0012_claude-code_20260702_094836,0,0,1,8,10,14,16,1475.9,14.518733000000001,98720,83,5,0,5
ue_task_0013,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0013_claude-code_20260702_100831,0,0,1,1,2,23,25,1007.0,9.169605,60225,44,7,0,1
ue_task_0014,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0014_claude-code_20260702_102640,1,1,1,2,2,18,18,958.3,9.954828000000003,64939,68,4,0,2
ue_task_0015,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0015_claude-code_20260702_104210,1,0,1,2,2,15,16,822.7,10.681046000000002,59292,72,1,0,8
ue_task_0017,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0017_claude-code_20260702_112035,0,0,1,1,2,10,13,749.0,11.888183000000001,54098,4,3,0,2
ue_task_0018,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0018_claude-code_20260702_120709,1,0,1,1,1,16,17,901.6,8.094048999999998,59745,37,4,0,2
ue_task_0019,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0019_claude-code_20260702_175556,1,1,1,3,3,15,15,1026.7,21.37378,53669,95,4,1,2
ue_task_0020,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0020_claude-code_20260702_181147,1,0,1,12,12,15,17,835.1,18.702410999999994,59581,62,3,1,2
ue_task_0021,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0021_claude-code_20260701_225754,1,0,1,8,8,13,14,936.5,17.624254000000004,54598,78,3,0,1
ue_task_0022,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0022_claude-code_20260701_231636,1,1,1,8,8,16,16,891.5,17.64094,57666,90,4,0,2
ue_task_0023,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0023_claude-code_20260701_233347,1,1,1,2,2,10,10,861.8,13.852700999999998,60304,83,2,0,1
ue_task_0024,Claude Fable 5 (max),claude-code,claude-fable-5,max,ue_task_0024_claude-code_20260701_234827,1,1,1,3,3,11,11,776.7,23.405476000000004,57650,5,1,0,2
