key,label,agent,model,reasoning,status,tasks_present,raw_pass,raw_rate,judge_rate,requirement_rate,test_micro_rate,compile_rate,median_minutes,mean_cost_usd,mean_output_tokens,mean_compile_calls,mean_compile_errors,missing_tasks
fable5-max,Claude Fable 5 (max),claude-code,claude-fable-5,max,complete,110,71,0.6455,0.5755,0.9109,0.8672,0.9636,17.91,17.2324,78175,3.79,2.17,
gpt55-xhigh,GPT-5.5 (xhigh),codex,gpt-5.5,xhigh,complete,110,28,0.2545,0.3019,0.8044,0.5946,0.9636,13.40,9.9038,29770,3.94,2.99,
opus48-max,Claude Opus 4.8 (max),claude-code,claude-opus-4-8,max,complete,110,49,0.4455,0.2476,0.7788,0.7143,0.9545,25.14,10.7818,115972,4.35,1.32,
gpt55-high,GPT-5.5 (high),codex,gpt-5.5,high,complete,110,32,0.2909,0.1981,0.6910,0.5745,0.9636,10.05,5.4144,18406,3.84,3.20,
gemini3pro,Gemini 3.1 Pro (High),antigravity-cli,"['*Gemini*', 'gemini-pro-default']",*,complete,110,30,0.2727,0.2469,0.5247,0.5444,0.7364,6.60,3.3439,11219,,,
opus48-high,Claude Opus 4.8 (high),claude-code,claude-opus-4-8,high,complete,110,31,0.2818,0.1359,0.6957,0.6356,0.9364,12.01,4.2375,45592,3.01,0.66,
opus47-high,Claude Opus 4.7 (high),claude-code,claude-opus-4-7,high,complete,110,27,0.2455,0.1038,0.6751,0.5973,0.9636,11.92,5.1023,37159,2.57,0.73,
gpt55-medium,GPT-5.5 (medium),codex,gpt-5.5,medium,complete,110,22,0.2000,0.0952,0.6314,0.5422,0.9636,8.54,4.0620,13365,3.60,3.56,
kimi-coding,Kimi for Coding,kimi-code,kimi-code/kimi-for-coding,default,complete,110,16,0.1455,0.1500,0.7301,0.5706,0.9091,17.11,8.6327,33105,8.05,20.68,
sonnet46-high,Claude Sonnet 4.6 (high),claude-code,claude-sonnet-4-6,high,complete,110,28,0.2545,0.0762,0.6168,0.6361,0.9636,21.54,3.5857,78998,3.93,3.43,
qwen37-plus,Qwen 3.7 Plus,qwen-code,qwen3.7-plus,default,complete,110,9,0.0818,0.1143,0.5476,0.5476,0.6273,18.02,1.3937,45294,4.73,22.11,
deepseek,DeepSeek 4 Pro,qwen-code,deepseek-v4-pro,default,complete,110,9,0.0818,0.1304,0.6409,0.6806,0.4636,7.56,1.4211,25552,1.87,6.15,
