task_id,title,tier,domain,Claude Fable 5 (max),GPT-5.5 (xhigh),Claude Opus 4.8 (max),GPT-5.5 (high),Gemini 3.1 Pro (High),Claude Opus 4.8 (high),Claude Opus 4.7 (high),GPT-5.5 (medium),Kimi for Coding,Claude Sonnet 4.6 (high),Qwen 3.7 Plus,DeepSeek 4 Pro
ue_task_0001,Zombie System,hard,AI / Enemies,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
ue_task_0002,Weapon and Projectile System,hard,Weapons / Combat,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
ue_task_0003,Inventory System,hard,Inventory / Interaction,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
ue_task_0004,Trader System,hard,Inventory / Interaction,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
ue_task_0005,Interaction and Door System,hard,Inventory / Interaction,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,FAIL,PASS,FAIL,FAIL
ue_task_0006,Round-Based Match Loop,hard,Core Gameplay,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
ue_task_0007,Character Combat and Health,hard,Weapons / Combat,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
ue_task_0008,Action System,hard,Core Gameplay,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
ue_task_0009,Interaction Component,medium,Inventory / Interaction,PASS,FAIL,PASS,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
ue_task_0010,Explosive Barrel,easy,Weapons / Combat,PASS,PASS,FAIL,PASS,FAIL,PASS,PASS,PASS,FAIL,FAIL,FAIL,FAIL
ue_task_0011,Treasure Chest,medium,Inventory / Interaction,PASS,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,PASS,FAIL,PASS,PASS,PASS
ue_task_0012,Pickup System,hard,Inventory / Interaction,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
ue_task_0013,Game Mode Spawn System,hard,Core Gameplay,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,FAIL,PASS,FAIL,FAIL
ue_task_0014,Monster Corpse System,medium,AI / Enemies,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,PASS,PASS,FAIL,FAIL,FAIL,FAIL
ue_task_0015,AI Controller + Behavior Tree,hard,AI / Enemies,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
ue_task_0017,Actor Pooling,medium,Engine Systems / Pooling,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
ue_task_0018,Significance / LOD System,hard,AI / Enemies,FAIL,PASS,FAIL,PASS,FAIL,FAIL,FAIL,PASS,FAIL,FAIL,FAIL,FAIL
ue_task_0019,Generated Map Orchestrator,hard,Inventory / Interaction,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
ue_task_0020,Cell Math + Cell Utility Library,hard,Core Gameplay,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
ue_task_0021,Bomb Ability Actor,hard,Gameplay Ability System,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
ue_task_0022,Bomb Placement and Explosion Execution,hard,Core Gameplay,PASS,FAIL,PASS,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL,FAIL
